,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
205,Associate Embedded Solutions Engineer (ESE)– PCIe (New College Graduate-初級工程師)(Taipei) ,11/17,待遇面議,Microchip Technology Taiwan_台灣超捷國際股份有限公司,全職,台北市中山區民權東路三段4號12樓
206,【學生實習】大數據分析/量化分析實習生 ,11/17,時薪176元,沛然資訊有限公司,兼職 - 短期工讀,台北市內湖區洲子街150號7樓
207,R3: 系統軟體工程師-313 ,11/15,待遇面議,德律科技股份有限公司,全職,台北市士林區德行西路45號7樓
208,F0105 - Computer Vision Software Engineer ,10/24,待遇面議,優比快股份有限公司,全職,台北市信義區松仁路105號
209,AI/Big Data工程師(DTO) ,10/20,待遇面議,貿聯國際股份有限公司,全職,新北市中和區建一路186號3樓
210,自動化測試軟體工程師_12758 ,11/16,待遇面議,和碩集團_和碩聯合科技股份有限公司,全職,台北市北投區立功街96號
211,【iKala Cloud】(外包/兼職) 資料科學顧問 Data Science Consultant ,11/17,論件計酬1元以上,愛卡拉互動媒體股份有限公司,兼職 - 長期工讀,台北市信義區東興路41號10樓
212,AI 資料處理助理 （實習生或工讀） ,11/15,時薪180元以上,歐易亞科技股份有限公司,兼職 - 長期工讀,台北市中正區羅斯福路二段100號25樓
213,自動化測試工程師 ,11/10,"月薪40,000~80,000元",尤米爾科技有限公司,全職,台北市中山區建國北路1段
214,TQA－測試工程師 ,11/13,待遇面議,伊普資訊股份有限公司,全職,台北市信義區
215,韌體工程師 ,11/17,"月薪45,000~80,000元",進聯工業股份有限公司,全職,新北市新莊區中正路66號8樓(242)
216,Quantitative Machine Learning Alpha Researcher - Quantitative Algorithmic Trading Team ,08/02,待遇面議,量趨科技股份有限公司,全職,台北市信義區忠孝東路五段68號
217,影像處理工程師 ,11/17,待遇面議,立普思股份有限公司,全職,台北市內湖區瑞光路100號2樓
218,程式設計師-台中 ,09/26,"月薪32,000~50,000元",全域科技有限公司,全職,台中市中區綠川西街135號12樓之1
219,AI深度學習應用工程師 ,10/30,"月薪55,000~75,000元",慧演智能股份有限公司,全職,台中市大里區中興路一段159之一號3樓
220,自動化測試工程師 ,11/09,待遇面議,英仕國際有限公司,全職,台中市西屯區市政路402號
221,人工智慧中心-研發工程師 ,11/09,"月薪38,000~40,000元",中山醫學大學附設醫院,全職,台中市南區台中市南區建國北路一段110號
222,AIoT 軟體設計工程師 ,11/07,待遇面議,億集創見應用科技股份有限公司,全職,台中市西區臺灣大道二段239號7樓之4
223,Junior Software Engineer 初級軟體工程師(台北總公司) ,11/15,"月薪40,000元以上",山富國際旅行社股份有限公司,全職,台北市中山區南京東路二段85號4樓(自強大樓)
224,Software Engineer (WFH) ,11/13,待遇面議,印度商威普羅股份有限公司台灣分公司,全職,新北市新店區捷運大坪林站附近
225,數據分析工程師(高雄)-B85B ,11/13,待遇面議,精誠資訊股份有限公司,全職,高雄市前鎮區成功二路25號3F-B
226,[QA] 助理工程師 ,11/10,"年薪500,000~600,000元",帕奇巨科技股份有限公司,全職,新竹縣竹北市光明三路59號5樓
227,QA Automation Engineer 自動化測試工程師 ,11/16,"年薪940,000~1,700,000元",OpenNet_開網有限公司,全職,台北市中正區杭州南路一段15-1號16F
228,Automation Test Engineer 自動化測試工程師 (地點：新店/板橋/南港) ,11/15,待遇面議,印度商威普羅股份有限公司台灣分公司,全職,新北市新店區板橋/南港
229,數位IC驗證工程師0100 ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
230,Research Product Engineer (RPE) ,11/09,待遇面議,緯穎科技服務股份有限公司,全職,台南市安定區北園三路8號
231,網頁後端工程師 Web Backend Engineer ,11/13,待遇面議,廣達集團_雲達科技股份有限公司,全職,桃園市龜山區文化二路211號1樓
232,軟體工程師 ,10/20,"月薪40,000~70,000元",臥龍智慧環境有限公司,全職,台中市西屯區朝富路213號22F-10
233,網站設計師-月薪6萬元以上 ,11/17,"月薪60,000元以上",宅急網股份有限公司,全職,桃園市桃園區明德里中正路1221號2樓
234,【數據發展部】- 演算法工程師 ,11/08,待遇面議,聯合報股份有限公司,全職,台北市信義區基隆路一段178號11樓
235,【台中分公司】資訊人員 ,11/17,"月薪26,400~40,000元",群益期貨股份有限公司,全職,台中市西屯區台灣大道二段633號3樓之6
236,數據應用部-營運分析數據人員 ,11/15,待遇面議,永豐商業銀行股份有限公司,全職,台北市中山區台北市中山區建國北路二段9-1號
237,Full Stack Software Engineer/Data Engineer ,11/15,"月薪80,000元以上",先勁智能有限公司,全職,台北市信義區松德路6號8樓1102室
238,AI 工程師 ,11/14,待遇面議,昕傳科技股份有限公司,全職,台北市松山區光復南路67號7樓
239,智能應用事業部-自動化測試軟體設計工程師(內湖) ,11/13,待遇面議,光寶科技股份有限公司,全職,台北市內湖區瑞光路392號
240,模組機電工程師-竹北 ,11/06,"月薪32,000元以上",天虹科技股份有限公司,全職,新竹縣竹北市嘉政一街1號5樓
241,(大數據)零售研究員/資深研究員 ,11/07,待遇面議,東方線上股份有限公司,全職,台北市大安區信義路四段306號7樓
242,影像處理工程師-台南 ,10/05,"月薪32,000~50,000元",全域科技有限公司,全職,台中市中區綠川西街135號12樓之1
243,Software Engineer_HPE Server Automation Developer ,11/15,待遇面議,荷蘭商萊博智科技股份有限公司台灣分公司,全職,台北市南港區
244,數據暨建模人員 ,11/10,待遇面議,富邦金融控股股份有限公司,全職,台北市松山區
245,【研發替代役】AI 機器人工程師 (士林) ,11/14,待遇面議,Inventec_英業達股份有限公司,全職,台北市士林區承德路四段166號
246,機器學習工程師(ML Engineer) ,11/13,待遇面議,桑日創意行銷有限公司,全職,台北市中山區復興北路48號11樓
247,資料工程師 ,11/09,"月薪50,000~70,000元",立炘數位行銷有限公司,全職,台北市中山區建國北路二段65號4樓
248,總部研發-資深AI演算法工程師(台北內湖區) ,11/14,待遇面議,喬山健康科技股份有限公司,全職,台北市內湖區基湖路35巷16、18號
249,【AIGC】Generative AI Enginee AI工程師(影像生成) ,11/17,待遇面議,數碼虛擬人科技有限公司,全職,台北市中山區長春路210號2樓
250,AI影像資料工程師 ,10/30,"月薪35,000~50,000元",慧演智能股份有限公司,全職,台中市大里區中興路一段159之一號3樓
251,人工智慧演算法工程師 ,11/14,"月薪40,000元以上",雲寧科技股份有限公司,全職,高雄市苓雅區憲政路246號1樓
252,QA Automation Engineer ,11/15,待遇面議,上展科技股份有限公司,全職,新北市中和區建八路2號13樓之6(C棟)
253,【校園徵才-學期制實習】數據分析與軟體設計工程師(竹南/台南) ,11/01,"月薪26,400~60,000元",Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
254,【智慧化發展部】軟體工程師 ,11/10,待遇面議,文鼎科技開發股份有限公司,全職,台北市中正區八德路一段5號4樓之1
255,國衛院「生醫大數據資料分析」研究助理 ,07/31,"月薪34,000元以上",財團法人國家衛生研究院,全職,苗栗縣竹南鎮
256,Solidity/區塊鏈工程師 ,11/15,待遇面議,易元數位科技有限公司,全職,新竹市東區關東路158號2樓之1
257,高頻計量交易員 High Frequency Trader ,11/16,"年薪1,200,000~3,000,000元",領先創新科技股份有限公司,全職,台北市松山區敦化南路一段 (近小巨蛋)
258,DATA_資料分析師 ,11/15,待遇面議,博弘雲端科技股份有限公司,全職,台北市中山區樂群二路267號5樓之8
259,測試開發工程師 ,11/10,"月薪35,000~45,000元",福懋科技股份有限公司,全職,雲林縣斗六市河南街329號
260,美商物流業平台軟體公司 | Software Quality Assurance Engineer 軟體測試工程師 ,11/08,"月薪80,000~85,000元",美商樺伍股份有限公司,全職,桃園市中壢區
261,AI Engineer / 人工智慧工程師 ,11/16,"月薪50,000~70,000元",財團法人人工智慧科技基金會,全職,台北市信義區基隆路一段380號2樓
262,Python 程式設計語言講師(台南地區) ,11/15,"時薪300~1,200元",聯成電腦有限公司(聯成電腦/聯成外語),兼職,台南市中西區
263,後端工程師 Backend Engineer ,11/14,待遇面議,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,全職,台北市信義區基隆路一段333號33樓
264,【IT】Tool測試工程師(新竹)(新竹科學園區) ,10/30,"月薪40,000~45,000元",智聯服務股份有限公司,全職,新竹市新竹科學園區
265,Optical Metrology Team Leader ,11/17,待遇面議,立普思股份有限公司,全職,台北市內湖區瑞光路100號2樓
266,Senior QA Engineer (Auto Testing) ,11/14,待遇面議,聯齊科技股份有限公司,全職,台北市南港區南港路三段47巷8號8樓
267,Backend Engineer 軟體設計工程師 ,11/16,待遇面議,優必達台灣有限公司,全職,台北市松山區復興北路99號10樓
268,Backend Engineer 軟體設計工程師 ,11/16,待遇面議,優必達台灣有限公司,全職,台北市松山區復興北路99號10樓
269,軟體系統工程師 ,10/03,"年薪500,000~1,300,000元",艾知科技股份有限公司,全職,台北市內湖區新湖三路288號ＥＦ
270,演算法工程師 ,11/06,"月薪60,000~120,000元",群望科技股份有限公司,全職,新竹縣竹北市光明六路東一段247號6樓
271,雲端基礎設施工程師 (Cloud Infrastructure Engineer) ,11/16,待遇面議,干城數碼有限公司,全職,台北市中山區
272,AI軟體工程師(模型訓練) ,11/16,"月薪42,000~50,000元",覺華工程科技股份有限公司,全職,桃園市中壢區環北路1號9樓
273,生態專員（水域調查、生態檢核、影像資料標記) ,11/13,"月薪33,280~50,000元",清華生態顧問有限公司,全職,新竹縣竹北市嘉政九街29號5樓
274,【資訊板塊】自動化測試工程師／QA Automation Engineer ,11/17,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,全職,台北市內湖區
275,(板橋) Image Quality Engineer (IQE) ,11/17,待遇面議,HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,全職,新北市板橋區遠東路 (距捷運 - 亞東醫院站 600公尺)
276,BI Analyst BI 數據分析 ,11/16,"年薪910,000~1,800,000元",OpenNet_開網有限公司,全職,台北市中正區杭州南路一段15-1號16F
277,助理工程師 ,11/17,"月薪35,000元以上",創未來科技股份有限公司,全職,新竹市東區公道五路三段1號7樓之8
278,EDA Engineer ,11/16,待遇面議,晶豪科技股份有限公司,全職,新竹市工業東四路23號
279,Sr. Firmware Engineer (請至連結投遞中英文履歷) ,11/13,待遇面議,美商恩傑有限公司,全職,新北市板橋區縣民大道二段68號14樓
280,【GAI菁英專區】工研院資通所_AI最佳化應用工程師(T101) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
281,Software R&D intern (應屆畢業生有機會轉正聘用) ,11/08,時薪200元以上,美商海鸚科技股份有限公司台灣分公司,全職,台北市中正區襄陽路9號21樓
282,通訊演算法工程師 ,11/14,待遇面議,聯發科技集團_達發科技股份有限公司,全職,新竹市科學園區篤行路6之5號5樓
283,總公司 Data Analytics Engineer_台北 ,11/15,待遇面議,家樂福_家福股份有限公司,全職,台北市北投區大業路136號
284,AI Software Engineer 人工智慧軟體工程師 (台南) ,11/05,待遇面議,立達軟體科技股份有限公司,全職,台南市新市區南科二路12號3樓R308室
285,交易系統工程師 Trading System Engineer ,11/16,"年薪800,000~1,500,000元",領先創新科技股份有限公司,全職,台北市松山區敦化南路一段 (近小巨蛋)
286,(1666)Switch/Router軟體測試工程師(QA)-南港 ,11/13,待遇面議,神準科技股份有限公司,全職,台北市南港區南港路一段209號B棟8樓
287,NLP Engineer 自然語言處理工程師 ,04/27,待遇面議,Taiwan AI Labs_雅婷智慧股份有限公司,全職,台北市大同區承德路1段70號15樓
288,Graphics Validation Engineer ,11/16,待遇面議,台灣聚引移動有限公司,全職,台北市南港區
289,ROS sensor engineer ,11/17,"月薪70,000~100,000元","Linker Vision Co., Ltd._鑫蘊林科股份有限公司",全職,台北市大安區忠孝東路三段136號9樓之5
290,高級工程師 ,11/15,待遇面議,神雋股份有限公司,全職,台北市南港區三重路66號9樓
291,Junior Software Development Engineer in Test (SDET) ,11/13,"年薪1,300,000~2,400,000元",GoFreight Inc. _聖學科技股份有限公司,全職,台北市中山區民生東路三段49號13樓
292,自動化測試工程師 ,11/17,"月薪30,000~50,000元",友勁科技股份有限公司,全職,台北市內湖區瑞湖街158號5樓
293,Senior Machine Learning Engineer ,11/16,待遇面議,雲象科技股份有限公司,全職,台北市南港區忠孝東路7段508號15樓
294,加密貨幣交易所前後端工程師 ,11/15,待遇面議,易元數位科技有限公司,全職,新竹市東區關東路158號2樓之1
295,AI硬體工程師 ,10/26,"月薪40,000元以上",世創生物科技股份有限公司,全職,新竹市光復路二段101號
